,district,size,level,max_levels,price
0,Юнусабадский,57.0,4,4,104000.0
1,Яккасарайский,52.0,4,5,112000.0
2,Чиланзарский,42.0,4,4,74000.0
3,Чиланзарский,65.0,1,4,99000.0
4,Чиланзарский,70.0,3,5,110000.0
5,Чиланзарский,28.0,1,4,51000.0
6,Чиланзарский,30.0,2,4,42400.0
7,Яккасарайский,32.0,5,5,40000.0
8,Учтепинский,51.0,3,4,52400.0
9,Чиланзарский,30.0,1,4,44400.0
10,Учтепинский,30.0,2,5,48400.0
11,Чиланзарский,67.0,2,5,60400.0
12,Чиланзарский,30.0,2,4,42400.0
13,Чиланзарский,30.0,2,4,42400.0
14,Чиланзарский,30.0,2,4,42400.0
15,Чиланзарский,35.0,1,5,45000.0
16,Чиланзарский,43.0,4,4,45000.0
17,Чиланзарский,51.0,2,4,42400.0
18,Мирзо-Улугбекский,65.0,1,4,65000.0
19,Чиланзарский,51.0,2,4,44400.0
20,Чиланзарский,51.0,2,4,48400.0
21,Яккасарайский,90.0,5,5,90000.0
22,Чиланзарский,80.0,3,4,112000.0
23,Яшнободский,70.0,5,5,94000.0
24,Мирзо-Улугбекский,69.0,1,4,99800.0
25,Мирабадский,80.0,2,4,152000.0
26,Учтепинский,96.0,3,4,130000.0
27,Учтепинский,76.0,4,4,95000.0
28,Учтепинский,45.0,4,5,60000.0
29,Чиланзарский,27.0,3,4,64000.0
30,Учтепинский,65.0,3,9,88000.0
31,Чиланзарский,64.0,3,4,113000.0
32,Чиланзарский,42.0,5,9,70000.0
33,Чиланзарский,26.0,2,4,47000.0
34,Учтепинский,76.0,5,5,121000.0
35,Чиланзарский,80.0,2,4,136000.0
36,Чиланзарский,72.0,5,5,83000.0
37,Учтепинский,100.0,3,12,110000.0
38,Учтепинский,65.0,4,4,88000.0
39,Учтепинский,80.0,3,4,105000.0
40,Учтепинский,72.0,6,9,86000.0
41,Мирабадский,65.0,1,4,160000.0
42,Яккасарайский,63.0,1,5,84000.0
43,Яккасарайский,48.0,5,9,46000.0
44,Юнусабадский,70.0,3,4,94000.0
45,Яккасарайский,102.0,7,12,177568.0
46,Учтепинский,78.0,2,4,130000.0
47,Чиланзарский,100.0,1,4,194000.0
48,Чиланзарский,34.0,1,4,57000.0
49,Чиланзарский,42.0,2,4,69000.0
50,Учтепинский,80.0,4,5,102000.0
51,Учтепинский,90.0,1,12,102000.0
52,Чиланзарский,45.0,2,4,96000.0
53,Чиланзарский,70.0,5,5,80000.0
54,Чиланзарский,96.0,7,9,134000.0
55,Учтепинский,80.0,4,5,136000.0
56,Учтепинский,63.0,1,4,81000.0
57,Учтепинский,56.0,4,5,108000.0
58,Учтепинский,52.0,1,4,72000.0
59,Учтепинский,98.0,2,4,136000.0
60,Чиланзарский,96.0,9,9,126000.0
61,Шайхантахурский,93.0,4,4,127000.0
62,Шайхантахурский,60.0,9,9,99000.0
63,Чиланзарский,82.0,4,4,140000.0
64,Учтепинский,120.0,9,9,104000.0
65,Учтепинский,110.0,3,3,182000.0
66,Чиланзарский,95.0,2,4,166000.0
67,Учтепинский,56.0,1,4,81000.0
68,Чиланзарский,68.0,3,4,96000.0
69,Олмазорский,57.0,3,4,84000.0
70,Яшнободский,46.0,11,11,39530.0
71,Чиланзарский,45.0,4,4,69000.0
72,Юнусабадский,40.0,1,9,80000.0
73,Мирзо-Улугбекский,95.0,5,5,100000.0
74,Юнусабадский,53.0,1,9,136000.0
75,Олмазорский,72.0,4,9,83000.0
76,Мирзо-Улугбекский,65.0,4,5,83000.0
77,Юнусабадский,82.0,1,4,172000.0
78,Чиланзарский,42.0,3,9,51000.0
79,Чиланзарский,54.0,4,4,63000.0
80,Чиланзарский,42.0,1,4,53000.0
81,Учтепинский,20.0,3,9,29000.0
82,Чиланзарский,45.0,4,4,90000.0
83,Чиланзарский,46.0,2,5,60000.0
84,Чиланзарский,50.0,2,4,69000.0
85,Чиланзарский,36.0,2,4,54000.0
86,Учтепинский,80.0,6,9,119000.0
87,Учтепинский,72.0,3,9,96000.0
88,Учтепинский,78.0,5,5,94598.0
89,Чиланзарский,46.0,4,5,74000.0
90,Чиланзарский,60.0,2,4,76000.0
91,Олмазорский,58.0,5,9,59000.0
92,Чиланзарский,70.0,2,7,112000.0
93,Яккасарайский,68.0,6,9,90000.0
94,Учтепинский,100.0,3,5,123000.0
95,Чиланзарский,68.0,5,5,93000.0
96,Учтепинский,70.0,4,12,102000.0
97,Чиланзарский,90.0,5,9,116800.0
98,Чиланзарский,60.0,5,5,94000.0
99,Учтепинский,80.0,5,5,105000.0
100,Учтепинский,74.0,3,5,100000.0
101,Чиланзарский,48.0,2,5,83000.0
102,Чиланзарский,94.0,9,9,90000.0
103,Учтепинский,65.0,4,9,95000.0
104,Чиланзарский,85.0,3,4,105000.0
105,Учтепинский,42.0,5,5,52000.0
106,Чиланзарский,110.0,3,4,210000.0
107,Учтепинский,70.0,4,4,84000.0
108,Чиланзарский,68.0,2,5,107000.0
109,Яккасарайский,48.0,5,9,46000.0
110,Яшнободский,20.0,3,3,25000.0
111,Мирабадский,110.0,4,7,214000.0
112,Чиланзарский,46.0,3,4,70000.0
113,Чиланзарский,125.0,5,5,140000.0
114,Мирзо-Улугбекский,72.0,18,19,110000.0
115,Мирзо-Улугбекский,64.67,7,9,78828.0
116,Юнусабадский,70.0,4,9,120000.0
117,Юнусабадский,50.0,7,9,74000.0
118,Мирзо-Улугбекский,51.0,2,4,98000.0
119,Мирзо-Улугбекский,22.0,1,2,36000.0
120,Чиланзарский,54.0,1,4,85000.0
121,Чиланзарский,30.0,3,5,69000.0
122,Чиланзарский,42.0,5,9,74000.0
123,Яккасарайский,70.0,2,4,140000.0
124,Шайхантахурский,68.0,2,4,91600.0
125,Чиланзарский,30.0,4,4,48000.0
126,Учтепинский,52.0,1,4,116000.0
127,Чиланзарский,72.0,4,4,111000.0
128,Чиланзарский,76.0,2,4,136000.0
129,Учтепинский,48.0,4,4,62000.0
130,Чиланзарский,66.0,3,9,94000.0
131,Чиланзарский,60.0,3,5,94000.0
132,Чиланзарский,37.0,1,4,82000.0
133,Мирзо-Улугбекский,40.0,3,4,48000.0
134,Юнусабадский,61.0,1,4,110000.0
135,Чиланзарский,32.0,2,4,57000.0
136,Чиланзарский,65.0,4,4,84000.0
137,Учтепинский,66.0,2,5,134000.0
138,Чиланзарский,70.0,4,4,93000.0
139,Чиланзарский,66.0,4,4,101000.0
140,Учтепинский,65.0,1,4,80000.0
141,Яшнободский,37.0,5,8,26142.0
142,Мирзо-Улугбекский,69.65,4,9,90376.0
143,Учтепинский,88.0,4,5,106000.0
144,Яккасарайский,38.0,2,5,51200.0
145,Мирабадский,61.0,6,9,104000.0
146,Мирзо-Улугбекский,45.0,3,7,88000.0
147,Сергелийский,69.0,2,9,80000.0
148,Мирзо-Улугбекский,55.13,5,9,70452.0
149,Чиланзарский,67.0,4,4,108000.0
150,Шайхантахурский,38.0,5,5,45000.0
151,Мирзо-Улугбекский,67.0,2,4,73000.0
152,Яккасарайский,54.0,4,9,80000.0
153,Чиланзарский,58.0,1,9,70000.0
154,Мирабадский,100.0,5,8,284000.0
155,Чиланзарский,90.0,4,5,104000.0
156,Олмазорский,91.0,3,3,170000.0
157,Шайхантахурский,111.0,7,8,220000.0
158,Сергелийский,54.0,6,7,72000.0
159,Яшнободский,69.0,5,5,104000.0
160,Юнусабадский,107.0,5,5,100000.0
161,Мирзо-Улугбекский,80.0,2,5,110000.0
