,address,district,rooms,size,level,max_levels,price,lat,lng
0,"город Ташкент, Yunusobod район, Юнусабад 8-й квартал",Yunusobod,3,57.0,4,4,52000,41.3714709,69.2810486
1,"город Ташкент, Yakkasaroy район, 1-й тупик Шота Руставели",Yakkasaroy,2,52.0,4,5,56000,41.2911155,69.2611035
2,"город Ташкент, Chilonzor район, Чиланзар 2-й квартал",Chilonzor,2,42.0,4,4,37000,41.2807837,69.223683
3,"город Ташкент, Chilonzor район, Чиланзар 9-й квартал",Chilonzor,3,65.0,1,4,49500,41.2901628,69.1968618
4,"город Ташкент, Chilonzor район, площадь Актепа",Chilonzor,3,70.0,3,5,55000,41.3001561,69.2108312
5,"город Ташкент, Chilonzor район, Чиланзар 6-й квартал",Chilonzor,1,28.0,1,4,25500,41.2857552,69.2117625
6,"город Ташкент, Chilonzor район, Чиланзар-16",Chilonzor,1,30.0,2,4,21200,41.274633,69.200587
7,"город Ташкент, Yakkasaroy район, Саламатина",Yakkasaroy,2,32.0,5,5,20000,41.2820131,69.2431373
8,"город Ташкент, Uchtepa район, Чиланзар-21",Uchtepa,2,51.0,3,4,26200,41.2924208,69.1737654
9,"город Ташкент, Chilonzor район, Чиланзар-8",Chilonzor,1,30.0,1,4,22200,41.2894422,69.2058023
10,"город Ташкент, Uchtepa район, Чиланзар-14",Uchtepa,2,30.0,2,5,24200,41.2962523,69.1909015
11,"город Ташкент, Chilonzor район, Чиланзар-20",Chilonzor,3,67.0,2,5,30200,41.259418,69.1804708
12,"город Ташкент, Chilonzor район, Чиланзар-17",Chilonzor,1,30.0,2,4,21200,41.271386,69.1961168
13,"город Ташкент, Chilonzor район, Чиланзар-16",Chilonzor,1,30.0,2,4,21200,41.274633,69.200587
14,"город Ташкент, Chilonzor район, Чиланзар-19",Chilonzor,1,30.0,2,4,21200,41.2710841,69.1849411
15,"город Ташкент, Chilonzor район, Чиланзар-19",Chilonzor,1,35.0,1,5,22500,41.2710841,69.1849411
16,"город Ташкент, Chilonzor район, Г9а",Chilonzor,1,43.0,4,4,22500,41.259418,69.1804708
17,"город Ташкент, Chilonzor район, Чиланзар-7",Chilonzor,2,51.0,2,4,21200,41.2948119,69.2087824
18,"город Ташкент, Mirzo Ulugbek район, Феруза",Mirzo Ulugbek,3,65.0,1,4,32500,41.3576548,69.3675816
19,"город Ташкент, Chilonzor район, Чиланзар-17",Chilonzor,2,51.0,2,4,22200,41.271386,69.1961168
20,"город Ташкент, Chilonzor район, Чиланзар-9",Chilonzor,2,51.0,2,4,24200,41.2901628,69.1968618
21,"город Ташкент, Yakkasaroy район, Кушбеги",Yakkasaroy,4,90.0,5,5,45000,41.2673079,69.2415634
22,"город Ташкент, Chilonzor район, 1-й проезд Заргарлик",Chilonzor,4,80.0,3,4,56000,41.2769954,69.1962495
